epoch,loss_avg,loss_test,acc_test,best_acc
0.0,2.049580510123332,2.2906870361328124,16.53,16.53
1.0,1.6390686443236575,2.2195728385925295,21.37,21.37
2.0,1.6674436367833696,2.146671625518799,50.68,50.68
3.0,1.7302129026772692,2.142535750579834,29.37,50.68
4.0,1.610110729635906,2.0763087856292723,51.35,51.35
5.0,1.531381965272971,1.9901126766204833,55.28,55.28
6.0,1.5220869677351594,1.9678117271423339,60.59,60.59
7.0,1.5542172811400161,1.9947946754455566,47.15,60.59
8.0,1.5187825477611412,1.93156902217865,57.62,60.59
9.0,1.5115832328048202,1.945253228378296,50.67,60.59
10.0,1.4899069566854326,1.9321231758117676,53.82,60.59
11.0,1.5077728348084092,1.906162318611145,59.7,60.59
12.0,1.5291972781526777,1.9134881534576416,55.23,60.59
13.0,1.614834456694552,1.8444351108551025,66.37,66.37
14.0,1.5315139859749887,1.8277949747085571,69.32,69.32
15.0,1.5008994547145758,1.7667525239944457,73.8,73.8
16.0,1.5001556584665374,1.836967615699768,66.01,73.8
17.0,1.5633563487930573,1.7287674522399903,79.84,79.84
18.0,1.490202289658961,1.7705539985656737,72.4,79.84
19.0,1.5474158637988307,1.7517857660293579,74.52,79.84
20.0,1.550178519419013,1.7900038518905639,66.96,79.84
21.0,1.5053695854834725,1.6754338144302368,82.13,82.13
22.0,1.5053691811048036,1.7155045742034911,77.46,82.13
23.0,1.4919518829276952,1.717836826133728,77.31,82.13
