epoch,loss_avg,loss_test,acc_test,best_acc
0.0,1.6297789020997506,2.277392742919922,20.15,20.15
1.0,1.5200319838734286,2.210209578323364,37.97,37.97
2.0,1.4986156216222706,2.09508063621521,40.19,40.19
3.0,1.4852691713821486,2.1301917514801025,28.82,40.19
4.0,1.5217771590104634,2.035053101730347,53.94,53.94
5.0,1.4941760682936807,1.9845998571395873,48.64,53.94
6.0,1.4828357372264116,1.9035262428283692,66.39,66.39
7.0,1.4822036022199472,1.8731580474853515,60.99,66.39
8.0,1.4783255772287036,1.8536702033996582,64.9,66.39
9.0,1.4829857484487807,1.8782400421142578,61.33,66.39
