epoch,loss_avg,loss_test,acc_test,best_acc
0.0,2.302001592954,2.301099571609497,10.09,10.09
1.0,2.299866489092509,2.2978561756134033,19.54,19.54
2.0,2.2964753870964048,2.2918811420440672,21.59,21.59
3.0,2.276409164826075,2.2643861877441407,26.78,26.78
4.0,2.2308986856142683,2.188989387512207,41.3,41.3
5.0,2.1451391855875652,2.057916944313049,47.97,47.97
6.0,2.0177062381903332,1.9260811752319336,57.21,57.21
7.0,1.9008951903184255,1.7901101902008056,71.5,71.5
8.0,1.8011933131217956,1.7065182081222534,78.07,78.07
9.0,1.7328696285883587,1.6861298915863037,78.78,78.78
10.0,1.702725274324417,1.6702375940322876,80.22,80.22
11.0,1.6836051932970681,1.6636526580810547,80.58,80.58
12.0,1.6728180044492085,1.6568574954986572,81.2,81.2
13.0,1.6645886499087017,1.652965481376648,81.35,81.35
14.0,1.6584943478107452,1.6479469047546387,82.04,82.04
15.0,1.6526932779947918,1.6432304206848145,82.45,82.45
16.0,1.6475855032602946,1.638362608718872,82.75,82.75
17.0,1.6433591248989106,1.635151425743103,83.13,83.13
18.0,1.6406419009367625,1.6380222024917603,83.0,83.13
19.0,1.6376614408493042,1.6359421369552611,83.2,83.2
20.0,1.6345644725958506,1.6312980159759523,83.47,83.47
21.0,1.6321801366011301,1.6291812194824218,83.75,83.75
22.0,1.629550819714864,1.6285204847335815,83.72,83.75
23.0,1.6279553577899932,1.6262348108291627,83.94,83.94
24.0,1.6255171195665996,1.6254639459609985,83.95,83.95
25.0,1.62408300336202,1.626229062461853,83.86,83.95
26.0,1.6220644794305166,1.6234957998275756,84.15,84.15
27.0,1.6206659868558249,1.623742519378662,83.96,84.15
28.0,1.6194166301886241,1.6220659755706788,84.15,84.15
29.0,1.6177088169256846,1.621347154045105,84.33,84.33
30.0,1.6164607566197713,1.6215498252868652,84.26,84.33
31.0,1.6158153959115347,1.619795375442505,84.5,84.5
32.0,1.6142249125639598,1.6205383750915527,84.47,84.5
33.0,1.6138597670396169,1.619099640083313,84.45,84.5
34.0,1.6126205694675446,1.6182260940551758,84.59,84.59
35.0,1.6117898352940876,1.619324126434326,84.45,84.59
36.0,1.611246415535609,1.6182800180435182,84.61,84.61
37.0,1.6104594885508219,1.6184115327835082,84.61,84.61
38.0,1.6097078057130179,1.618610368156433,84.56,84.61
39.0,1.609173593680064,1.6181612031936645,84.59,84.61
40.0,1.6082261928717294,1.6176397466659547,84.68,84.68
41.0,1.6080062221686044,1.6171826343536377,84.64,84.68
42.0,1.6075271994272868,1.6171813331604004,84.55,84.68
43.0,1.6070257098674774,1.6172798946380615,84.61,84.68
44.0,1.606627962509791,1.6165924568176269,84.66,84.68
45.0,1.606244317293167,1.6167441793441772,84.65,84.68
46.0,1.6058514803250632,1.6171782695770263,84.6,84.68
47.0,1.6054923435052235,1.6160584381103515,84.72,84.72
48.0,1.605131383895874,1.6166775093078614,84.66,84.72
49.0,1.6048658576806387,1.6155892917633057,84.81,84.81
50.0,1.604448973973592,1.6156134387969971,84.69,84.81
51.0,1.6042762883504231,1.6157230686187745,84.73,84.81
52.0,1.6040225133895873,1.6155216939926147,84.76,84.81
53.0,1.6037508651415506,1.615361981010437,84.77,84.81
54.0,1.603611660718918,1.615439225578308,84.76,84.81
55.0,1.6033601218859355,1.6150248804092406,84.74,84.81
56.0,1.6031391552289327,1.6150899795532228,84.72,84.81
57.0,1.6029826334317525,1.6151883630752564,84.75,84.81
58.0,1.6027997953891755,1.6147261671066284,84.78,84.81
59.0,1.6026179649829864,1.614777045249939,84.79,84.81
60.0,1.6024650622208914,1.614934871482849,84.81,84.81
